r/R,twist (deg)
0,0
0.15,27.8285
0.175,28.9234
0.2,28.8321
0.225,27.9197
0.25,26.5511
0.275,24.8175
0.3,23.1752
0.325,21.4416
0.35,19.9818
0.375,18.6131
0.4,17.427
0.425,16.3321
0.45,15.4197
0.475,14.5985
0.5,13.8686
0.525,13.1387
0.55,12.5912
0.575,11.9526
0.6,11.3139
0.625,10.7664
0.65,10.219
0.675,9.76277
0.7,9.30657
0.725,8.85036
0.75,8.4854
0.775,8.12044
0.8,7.75547
0.825,7.39051
0.85,7.11679
0.875,6.75182
0.9,6.4781
0.925,6.20438
0.95,5.93066
0.975,5.74818
1,5.65693
